model,model_size,checkpoint,step,tokens,phrase_AB,ordering,layer,mean_cosine_sim
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,men and women,AB,12,0.8606221675872803
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,men and women,BA,12,0.8774266242980957
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,black and white,AB,12,0.7799071669578552
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,black and white,BA,12,0.7940489053726196
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,day and night,AB,12,0.7853854894638062
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,day and night,BA,12,0.7751894593238831
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,boys and girls,AB,12,0.8317341208457947
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,boys and girls,BA,12,0.8435612916946411
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,left and right,AB,12,0.8003376722335815
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,left and right,BA,12,0.7565520405769348
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,female and male,AB,12,0.9023737907409668
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,female and male,BA,12,0.8950731158256531
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,father and mother,AB,12,0.8747711181640625
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,father and mother,BA,12,0.8761603832244873
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,goods and services,AB,12,0.8093816041946411
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,goods and services,BA,12,0.8167662620544434
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,north and south,AB,12,0.777130126953125
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,north and south,BA,12,0.7831747531890869
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,development and research,AB,12,0.9207110404968262
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,development and research,BA,12,0.9258582592010498
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,place and time,AB,12,0.8568741679191589
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,place and time,BA,12,0.8548002243041992
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,death and life,AB,12,0.7717745304107666
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,death and life,BA,12,0.7815050482749939
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,brothers and sisters,AB,12,0.8415970206260681
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,brothers and sisters,BA,12,0.8352402448654175
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,husband and wife,AB,12,0.9145801663398743
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,husband and wife,BA,12,0.9071657657623291
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,gas and oil,AB,12,0.8032141327857971
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,gas and oil,BA,12,0.8288928270339966
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,pepper and salt,AB,12,0.7990797162055969
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,pepper and salt,BA,12,0.8089321851730347
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,fall and rise,AB,12,0.7668560743331909
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,fall and rise,BA,12,0.7701824903488159
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,arms and legs,AB,12,0.7171076536178589
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,arms and legs,BA,12,0.7060743570327759
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,fruits and vegetables,AB,12,0.83986496925354
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,fruits and vegetables,BA,12,0.8497073650360107
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,arts and sciences,AB,12,0.8220025897026062
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,arts and sciences,BA,12,0.789765477180481
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,gentlemen and ladies,AB,12,0.9662125706672668
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,gentlemen and ladies,BA,12,0.9665461182594299
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,feelings and thoughts,AB,12,0.7976866364479065
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,feelings and thoughts,BA,12,0.8021652698516846
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,diagnosis and treatment,AB,12,0.8635311126708984
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,diagnosis and treatment,BA,12,0.901472806930542
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,groups and individuals,AB,12,0.8159411549568176
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,groups and individuals,BA,12,0.815865159034729
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,knowledge and skills,AB,12,0.822232723236084
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,knowledge and skills,BA,12,0.7998365759849548
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,heart and mind,AB,12,0.7167075276374817
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,heart and mind,BA,12,0.6471583247184753
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,influence and power,AB,12,0.7969919443130493
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,influence and power,BA,12,0.7752238512039185
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,africa and asia,AB,12,0.8069826364517212
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,africa and asia,BA,12,0.8410089612007141
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,addresses and names,AB,12,0.8279521465301514
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,addresses and names,BA,12,0.8318334817886353
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,poetry and prose,AB,12,0.7626240253448486
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,poetry and prose,BA,12,0.738969624042511
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,forefinger and thumb,AB,12,0.628017783164978
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,forefinger and thumb,BA,12,0.7241770029067993
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,minerals and vitamins,AB,12,0.8184900283813477
znhoughton/opt-babylm-125m-20eps-seed964,125m,step-3984,3984,6527385600,minerals and vitamins,BA,12,0.8093848824501038
